rate_pct_medicare,hosp_reduction_mean,hosp_reduction_p025,hosp_reduction_p975,ed_reduction_mean,ed_reduction_p025,ed_reduction_p975,pmpm_savings_mean,pmpm_savings_p025,pmpm_savings_p975,hedis_improvement_mean,hedis_improvement_p025,hedis_improvement_p975,ai_hosp_mean,ai_ed_mean,ai_pmpm_mean,ai_hedis_mean,prob_net_savings
75,13.341753603793043,7.527549532721824,20.755160158919697,35.27738235821996,20.621711583977316,53.89600581876315,52.62034054615673,28.719839269086528,87.70014989268506,0.13321537458464086,0.004461258656646662,0.2530044950799218,175.56173933391312,665.2743035181649,417.90265568200397,0.4817513130425409,1.0
100,14.04931920412854,8.07264966207022,22.05966280409327,37.014963628310014,22.03965196464314,57.39330523956862,45.63330526876097,22.075534507065704,80.74158627200141,0.14280357848261985,0.004782358663120566,0.27121454548510365,174.85417373357762,663.5367222480749,424.8896909593997,0.49133951694051986,1.0
110,14.26926839015302,8.23769119708732,22.615914040035207,37.632643131286734,21.35792775527015,59.57089863994073,42.78691049908513,18.546292757456364,78.95579369879658,0.14629103538818902,0.004899150342445606,0.2778379722198752,174.63422454755315,662.9190427450981,427.73608572907546,0.4948269738460889,1.0
125,14.622663940791494,8.00720183922899,22.871707973774292,38.5155620378756,22.872153723327663,63.02307420720678,38.524272476429935,13.639603202198332,76.07425305970418,0.15050969936067887,0.0050404294645096685,0.28585011760173956,174.28082899691466,662.0361238385092,431.99872375173067,0.4990456378185788,1.0
