scenario,epsilon,mean_health,equally_distributed_equivalent,atkinson_index,health_by_race
sq_mco,1.0,5.588479910764983,5.588325806624155,2.7575323395367946e-05,"{'white': np.float64(5.558954502616702), 'black': np.float64(5.567469745947274), 'hispanic': np.float64(5.567174531576442), 'aian': np.float64(5.660320862919514)}"
ai_aco,1.0,6.056467856065163,6.056400454859479,1.1128797722692596e-05,"{'white': np.float64(6.042930613820623), 'black': np.float64(6.033541679223352), 'hispanic': np.float64(6.043851739345515), 'aian': np.float64(6.105547391871164)}"
ai_aco_optimistic,1.0,6.177334689608407,6.177202850992367,2.1342313904715304e-05,"{'white': np.float64(6.153142549250835), 'black': np.float64(6.157422155342767), 'hispanic': np.float64(6.1514632008362184), 'aian': np.float64(6.247310853003806)}"
ai_aco_pessimistic,1.0,5.871970652507239,5.871905360618957,1.1119246356217083e-05,"{'white': np.float64(5.8543728459803495), 'black': np.float64(5.84932581730353), 'hispanic': np.float64(5.865215542271806), 'aian': np.float64(5.918968404473268)}"
enhanced_ffs,1.0,5.876787571658363,5.876694082580304,1.5908194216374127e-05,"{'white': np.float64(5.852623150742755), 'black': np.float64(5.851222643763391), 'hispanic': np.float64(5.870526653240511), 'aian': np.float64(5.9327778388867936)}"
ai_aco_universal,1.0,6.067196126459647,6.06703038387521,2.731782210152467e-05,"{'white': np.float64(6.041356761920578), 'black': np.float64(6.033864443562631), 'hispanic': np.float64(6.049036192438941), 'aian': np.float64(6.144527107916439)}"
admin_only,1.0,5.588137781012682,5.587965155196487,3.089147457691066e-05,"{'white': np.float64(5.557273418360581), 'black': np.float64(5.557603519427132), 'hispanic': np.float64(5.57416699100881), 'aian': np.float64(5.663507195254207)}"
