scenario,consumer_surplus_per_member,govt_surplus_per_member_annual,medical_savings_per_member_annual,admin_savings_per_member_annual,producer_surplus_per_member,net_surplus_per_member,qaly_gain_per_1000,pmpm_savings,admin_cost_reduction_pp,bw_hosp_gap_reduction,hedis_equity_improvement,hosp_reduction_per_1000,ed_reduction_per_1000,pcp_increase_per_1000
sq_mco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ai_aco,151.11971134817077,489.513387122975,175.8722772105333,313.6411099124417,4.799448755894609,645.4325472270403,1.5111971134817077,40.79278226024792,0.0546501820428547,3.0709279579036064,0.0240688650424892,14.730514408246478,38.57452284168062,119.98621889736523
ai_aco_optimistic,175.71158105314498,529.3316761708768,215.69056625843507,313.6411099124417,4.8114842119192325,709.854741435941,1.7571158105314497,44.11097301423973,0.0546501820428547,3.9654640397037184,0.0240688650424892,18.015052778220678,46.683523416660705,120.28710529798082
ai_aco_pessimistic,102.88216006812969,424.2876801401096,110.6465702276679,313.6411099124417,4.830541745587707,532.000381953827,1.028821600681297,35.35730667834247,0.0546501820428547,2.3117211498770374,0.0,9.438920522780961,24.087162383394002,120.76354363969267
enhanced_ffs,103.92773286827608,248.36887774392767,103.9518114243221,144.41706631960557,6.8474889225710465,359.1440995347748,1.0392773286827608,20.69740647866064,0.025163853573483295,1.7376493324957067,0.0,9.4227406244502,20.824560343585176,171.18722306427617
ai_aco_universal,152.26331817967662,491.7371452263567,178.09603531391497,313.6411099124417,4.806446808742658,648.8069102147759,1.522633181796766,40.978095435529724,0.0546501820428547,3.3508326463631377,0.0240688650424892,14.971296675872424,38.479228070816475,120.16117021856644
admin_only,0.2881232278691926,326.0152944401493,12.374184527707598,313.6411099124417,-0.010278692935571598,326.29313897508297,0.002881232278691926,27.167941203345777,0.0546501820428547,-0.1312287205731124,0.0,0.12196164579282254,-0.32168500109492015,-0.25696732338928996
