scenario,consumer_surplus_per_member,govt_surplus_per_member_annual,medical_savings_per_member_annual,admin_savings_per_member_annual,producer_surplus_per_member,net_surplus_per_member,qaly_gain_per_1000,pmpm_savings,admin_cost_reduction_pp,bw_hosp_gap_reduction,hedis_equity_improvement,hosp_reduction_per_1000,ed_reduction_per_1000,pcp_increase_per_1000,wtp_threshold
sq_mco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000
ai_aco,75.8666675891598,477.1484763862138,175.80845808916177,301.34001829705204,4.89076020854889,557.9059041839224,1.517333351783196,39.762373032184485,0.05362618497992303,0.18341640560180306,0.023784216450095944,14.75054867717742,38.778803746712924,122.26900521372227,50000
ai_aco_optimistic,88.00534975013001,515.3626349963333,214.0226166992813,301.34001829705204,4.896897129254976,608.2648818757183,1.7601069950026003,42.946886249694444,0.05362618497992303,0.4180819512886762,0.023784216450095944,17.853561177910507,47.5104209614575,122.4224282313744,50000
ai_aco_pessimistic,51.47705224766839,411.0012543668504,109.66123606979835,301.34001829705204,4.8845861425378825,467.36289275705667,1.0295410449533677,34.250104530570866,0.05362618497992303,0.2855933241844184,0.0,9.308986222581268,24.61224916825347,122.11465356344706,50000
enhanced_ffs,51.38753994634365,243.088223640161,102.44358744809037,140.64463619207064,6.7700730145136,301.24583660101825,1.027750798926873,20.257351970013417,0.025028986589610697,0.163694943616572,0.0,9.291328940772331,20.709287593485783,169.25182536284,50000
ai_aco_universal,75.7012807566458,476.866340498118,175.52632220106597,301.34001829705204,4.88294438136003,557.4505656361239,1.514025615132916,39.7388617081765,0.05362618497992303,0.37971792412470773,0.023784216450095944,14.758474030557352,38.44748245072958,122.07360953400075,50000
admin_only,-0.22950480392769068,312.3136876043459,10.973669307293846,301.34001829705204,0.013863356321726313,312.09804615673994,-0.004590096078553814,26.02614063369549,0.05362618497992303,0.5446060657796084,0.0,-0.07780179013022348,-0.1393174388128955,0.34658390804315786,50000
sq_mco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000
ai_aco,151.7333351783196,477.1484763862138,175.80845808916177,301.34001829705204,4.89076020854889,633.7725717730823,1.517333351783196,39.762373032184485,0.05362618497992303,0.18341640560180306,0.023784216450095944,14.75054867717742,38.778803746712924,122.26900521372227,100000
ai_aco_optimistic,176.01069950026002,515.3626349963333,214.0226166992813,301.34001829705204,4.896897129254976,696.2702316258483,1.7601069950026003,42.946886249694444,0.05362618497992303,0.4180819512886762,0.023784216450095944,17.853561177910507,47.5104209614575,122.4224282313744,100000
ai_aco_pessimistic,102.95410449533678,411.0012543668504,109.66123606979835,301.34001829705204,4.8845861425378825,518.839945004725,1.0295410449533677,34.250104530570866,0.05362618497992303,0.2855933241844184,0.0,9.308986222581268,24.61224916825347,122.11465356344706,100000
enhanced_ffs,102.7750798926873,243.088223640161,102.44358744809037,140.64463619207064,6.7700730145136,352.63337654736193,1.027750798926873,20.257351970013417,0.025028986589610697,0.163694943616572,0.0,9.291328940772331,20.709287593485783,169.25182536284,100000
ai_aco_universal,151.4025615132916,476.866340498118,175.52632220106597,301.34001829705204,4.88294438136003,633.1518463927697,1.514025615132916,39.7388617081765,0.05362618497992303,0.37971792412470773,0.023784216450095944,14.758474030557352,38.44748245072958,122.07360953400075,100000
admin_only,-0.45900960785538136,312.3136876043459,10.973669307293846,301.34001829705204,0.013863356321726313,311.86854135281226,-0.004590096078553814,26.02614063369549,0.05362618497992303,0.5446060657796084,0.0,-0.07780179013022348,-0.1393174388128955,0.34658390804315786,100000
sq_mco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150000
ai_aco,227.6000027674794,477.1484763862138,175.80845808916177,301.34001829705204,4.89076020854889,709.639239362242,1.517333351783196,39.762373032184485,0.05362618497992303,0.18341640560180306,0.023784216450095944,14.75054867717742,38.778803746712924,122.26900521372227,150000
ai_aco_optimistic,264.01604925039004,515.3626349963333,214.0226166992813,301.34001829705204,4.896897129254976,784.2755813759784,1.7601069950026003,42.946886249694444,0.05362618497992303,0.4180819512886762,0.023784216450095944,17.853561177910507,47.5104209614575,122.4224282313744,150000
ai_aco_pessimistic,154.43115674300518,411.0012543668504,109.66123606979835,301.34001829705204,4.8845861425378825,570.3169972523934,1.0295410449533677,34.250104530570866,0.05362618497992303,0.2855933241844184,0.0,9.308986222581268,24.61224916825347,122.11465356344706,150000
enhanced_ffs,154.16261983903095,243.088223640161,102.44358744809037,140.64463619207064,6.7700730145136,404.0209164937056,1.027750798926873,20.257351970013417,0.025028986589610697,0.163694943616572,0.0,9.291328940772331,20.709287593485783,169.25182536284,150000
ai_aco_universal,227.1038422699374,476.866340498118,175.52632220106597,301.34001829705204,4.88294438136003,708.8531271494154,1.514025615132916,39.7388617081765,0.05362618497992303,0.37971792412470773,0.023784216450095944,14.758474030557352,38.44748245072958,122.07360953400075,150000
admin_only,-0.688514411783072,312.3136876043459,10.973669307293846,301.34001829705204,0.013863356321726313,311.6390365488846,-0.004590096078553814,26.02614063369549,0.05362618497992303,0.5446060657796084,0.0,-0.07780179013022348,-0.1393174388128955,0.34658390804315786,150000
sq_mco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000
ai_aco,303.4666703566392,477.1484763862138,175.80845808916177,301.34001829705204,4.89076020854889,785.5059069514019,1.517333351783196,39.762373032184485,0.05362618497992303,0.18341640560180306,0.023784216450095944,14.75054867717742,38.778803746712924,122.26900521372227,200000
ai_aco_optimistic,352.02139900052003,515.3626349963333,214.0226166992813,301.34001829705204,4.896897129254976,872.2809311261083,1.7601069950026003,42.946886249694444,0.05362618497992303,0.4180819512886762,0.023784216450095944,17.853561177910507,47.5104209614575,122.4224282313744,200000
ai_aco_pessimistic,205.90820899067356,411.0012543668504,109.66123606979835,301.34001829705204,4.8845861425378825,621.7940495000618,1.0295410449533677,34.250104530570866,0.05362618497992303,0.2855933241844184,0.0,9.308986222581268,24.61224916825347,122.11465356344706,200000
enhanced_ffs,205.5501597853746,243.088223640161,102.44358744809037,140.64463619207064,6.7700730145136,455.40845644004924,1.027750798926873,20.257351970013417,0.025028986589610697,0.163694943616572,0.0,9.291328940772331,20.709287593485783,169.25182536284,200000
ai_aco_universal,302.8051230265832,476.866340498118,175.52632220106597,301.34001829705204,4.88294438136003,784.5544079060613,1.514025615132916,39.7388617081765,0.05362618497992303,0.37971792412470773,0.023784216450095944,14.758474030557352,38.44748245072958,122.07360953400075,200000
admin_only,-0.9180192157107627,312.3136876043459,10.973669307293846,301.34001829705204,0.013863356321726313,311.40953174495684,-0.004590096078553814,26.02614063369549,0.05362618497992303,0.5446060657796084,0.0,-0.07780179013022348,-0.1393174388128955,0.34658390804315786,200000
