scenario,epsilon,mean_health,equally_distributed_equivalent,atkinson_index,health_by_race
sq_mco,2.0,5.588479910764983,5.588172565629028,5.499619589988125e-05,"{'white': np.float64(5.558954502616702), 'black': np.float64(5.567469745947274), 'hispanic': np.float64(5.567174531576442), 'aian': np.float64(5.660320862919514)}"
ai_aco,2.0,6.056467856065163,6.056333283481589,2.2219647948684695e-05,"{'white': np.float64(6.042930613820623), 'black': np.float64(6.033541679223352), 'hispanic': np.float64(6.043851739345515), 'aian': np.float64(6.105547391871164)}"
ai_aco_optimistic,2.0,6.177334689608407,6.177071670018853,4.2578167246953846e-05,"{'white': np.float64(6.153142549250835), 'black': np.float64(6.157422155342767), 'hispanic': np.float64(6.1514632008362184), 'aian': np.float64(6.247310853003806)}"
ai_aco_pessimistic,2.0,5.871970652507239,5.871840276600833,2.2203092304384775e-05,"{'white': np.float64(5.8543728459803495), 'black': np.float64(5.84932581730353), 'hispanic': np.float64(5.865215542271806), 'aian': np.float64(5.918968404473268)}"
enhanced_ffs,2.0,5.876787571658363,5.8766009400501265,3.175741950178779e-05,"{'white': np.float64(5.852623150742755), 'black': np.float64(5.851222643763391), 'hispanic': np.float64(5.870526653240511), 'aian': np.float64(5.9327778388867936)}"
ai_aco_universal,2.0,6.067196126459647,6.06686554450435,5.4486775836304346e-05,"{'white': np.float64(6.041356761920578), 'black': np.float64(6.033864443562631), 'hispanic': np.float64(6.049036192438941), 'aian': np.float64(6.144527107916439)}"
admin_only,2.0,5.588137781012682,5.587793502031748,6.160889269823944e-05,"{'white': np.float64(5.557273418360581), 'black': np.float64(5.557603519427132), 'hispanic': np.float64(5.57416699100881), 'aian': np.float64(5.663507195254207)}"
