scenario,hosp_per_1000_mean,hosp_per_1000_median,hosp_per_1000_p025,hosp_per_1000_p975,ed_per_1000_mean,ed_per_1000_median,ed_per_1000_p025,ed_per_1000_p975,pcp_per_1000_mean,pcp_per_1000_median,pcp_per_1000_p025,pcp_per_1000_p975,pmpm_mean,pmpm_median,pmpm_p025,pmpm_p975,engagement_rate_mean,engagement_rate_median,engagement_rate_p025,engagement_rate_p975,hedis_gap_closure_mean,hedis_gap_closure_median,hedis_gap_closure_p025,hedis_gap_closure_p975,hedis_racial_gap_mean,hedis_racial_gap_median,hedis_racial_gap_p025,hedis_racial_gap_p975,admin_cost_pct_mean,admin_cost_pct_median,admin_cost_pct_p025,admin_cost_pct_p975,bw_hosp_gap_mean,bw_hosp_gap_median,bw_hosp_gap_p025,bw_hosp_gap_p975,detection_rate_overall_mean,detection_rate_overall_median,detection_rate_overall_p025,detection_rate_overall_p975,certification_rate_overall_mean,certification_rate_overall_median,certification_rate_overall_p025,certification_rate_overall_p975
sq_mco,190.78963686073251,190.10894266437697,147.4684556671493,238.1143349814524,701.8030206936835,701.1196197292143,550.5470525860694,866.9564014203864,3429.005242604167,3421.496872680076,2709.081340378485,4235.970209636383,478.2556650749057,473.33986778501213,377.05570549467546,593.1286055150453,0.12167047511155527,0.12102711896075666,0.09972262220979199,0.14822933910297803,0.35040495791693427,0.34763811317222526,0.2614476637177602,0.4499777549207112,0.11969985963951409,0.11685550412666856,0.06376905023197096,0.18869997445771905,0.0838795119116107,0.07825846304105277,0.06,0.14519764037491079,40.1737227174225,39.47166719531154,20.460711886588424,63.518440628815924,0.6638494169595843,0.6638552517843981,0.6593854889290547,0.6685137214237696,0.7443534788063402,0.7443935757837603,0.7399788427369053,0.7485104560320008
ai_aco,176.05912245248604,174.9432903419555,134.72289555373297,220.31823718355835,663.2284978520029,662.0177321382628,519.0381291957558,817.3136273227235,3548.9914615015323,3531.635693089718,2808.0952650051086,4369.960289240622,437.4628828146578,435.3798215859457,343.7528608960276,542.8671380824209,0.20622598780311338,0.19895946581962953,0.12475067496060459,0.3347836501126824,0.4993586847747813,0.4976184610772389,0.40944504270977483,0.5971681485055438,0.09563099459702482,0.09404471992274274,0.05072396500314329,0.14921373485967668,0.02922932986875604,0.025964163156266894,0.01,0.06,37.10279475951889,36.84722476016846,17.832474208595936,58.11779471184081,0.774465615837268,0.7741348701107905,0.7471371384971123,0.8038712685604957,0.9488552078725413,0.9494859660357997,0.9277941423940685,0.9672545931360168
ai_aco_optimistic,172.77458408251184,172.38623513591014,132.390825987921,217.97363873980632,655.1194972770228,652.6240576265022,510.05370434824636,808.0971990424267,3549.292347902148,3538.8156500678865,2806.0991542988972,4374.827498606756,434.144692060666,432.1722336203668,341.2702439279913,537.7831844472155,0.20618299824264158,0.19900006218390462,0.12591831775739495,0.3335456894028901,0.4993586847747813,0.4976184610772389,0.40944504270977483,0.5971681485055438,0.09563099459702482,0.09404471992274274,0.05072396500314329,0.14921373485967668,0.02922932986875604,0.025964163156266894,0.01,0.06,36.20825867771878,35.431063967546706,16.523223322339135,56.820186285695144,0.7744358995933291,0.7743772694546471,0.7470173976419039,0.8042155382547425,0.9488986227001901,0.9494182563102666,0.927483731246469,0.9674175238074467
ai_aco_pessimistic,181.35071633795155,180.48067863564387,139.5227120080656,228.17357841257748,677.7158583102895,675.5514990299606,528.4630540666948,839.4236082520104,3549.7687862438597,3537.9262139344405,2795.221505846613,4366.385440449186,442.89835839656325,440.3261879431859,348.3160510171253,548.3480672214898,0.206202185071678,0.19885285431489988,0.12543550836520873,0.33363441935115956,0.42488182134585784,0.4243639959118124,0.35825513602331777,0.4903862109859835,0.11969985963951409,0.11685550412666856,0.06376905023197096,0.18869997445771905,0.02922932986875604,0.025964163156266894,0.01,0.06,37.86200156754546,37.2464479908535,17.74495042997373,59.98120531133335,0.7190880515248171,0.718862956989073,0.7047999527579151,0.7349664369005773,0.7441425070899965,0.7440824352278008,0.7398344898753699,0.7484359679661532
enhanced_ffs,181.36689623628234,180.39978061754218,139.31758616817768,227.52493176716342,680.9784603500983,681.2167179806676,533.4470277125076,839.4268611185852,3600.192465668443,3593.443399826887,2835.1404044783017,4443.217202189934,457.5582585962451,453.56746109493974,360.3879966727751,567.4748880530063,0.14050245243299686,0.13981085778128416,0.11435973713006839,0.16949045815981026,0.36792520581278104,0.36502001883083657,0.27452004690364823,0.47247664266674677,0.11969985963951409,0.11685550412666856,0.06376905023197096,0.18869997445771905,0.05871565833812748,0.05478092412873693,0.041999999999999996,0.10163834826243755,38.43607338492679,37.64247328829177,18.131568215370894,60.91681585218668,0.6640213572241341,0.6640699483460997,0.6594629830414767,0.6686766999856476,0.7442346696782145,0.7441855102071491,0.7397941550666178,0.7484569329306803
ai_aco_universal,175.8183401848601,174.63111829942642,134.94446623664481,220.7314507033412,663.323792622867,662.8267123192797,518.9040322578269,821.9505278411485,3549.1664128227335,3535.052860739588,2806.025108298722,4369.90997479931,437.277569639376,435.21048562677936,342.8469254579615,541.421840791058,0.20613437337632962,0.19876967229082265,0.12473108408354333,0.3323956555553951,0.4993586847747813,0.4976184610772389,0.40944504270977483,0.5971681485055438,0.09563099459702482,0.09404471992274274,0.05072396500314329,0.14921373485967668,0.02922932986875604,0.025964163156266894,0.01,0.06,36.82289007105936,36.2363075482846,17.87561180577275,59.2570139695252,0.7744436011141234,0.7744261177114791,0.7478848999502233,0.804631724666174,0.9488436273728243,0.9492277996829505,0.9275755556544474,0.9669361069221295
admin_only,190.6676752149397,189.85092366675204,147.3746345958827,239.72165261241656,702.1247056947784,702.2447505438145,548.1133300188231,864.5199675170143,3428.7482752807778,3423.9686828889053,2701.5542660663614,4231.195189382408,451.08772387155994,448.559063854435,355.8315640809952,558.8884970460502,0.12167187822800038,0.12064281653596749,0.09927821727292045,0.1474984240358769,0.35040495791693427,0.34763811317222526,0.2614476637177602,0.4499777549207112,0.11969985963951409,0.11685550412666856,0.06376905023197096,0.18869997445771905,0.02922932986875604,0.025964163156266894,0.01,0.06,40.30495143799561,39.447050656732785,20.636312426976218,64.26766048281003,0.6640559235179232,0.6640857153550922,0.6593531997155454,0.6687848660879928,0.7443135123856487,0.7442882904760487,0.7402880713588302,0.7484997764621248
